일시,시도,시·군·구,화재유형,발화열원대분류,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,인명피해(명)소계,사망,부상,재산피해소계,장소대분류,장소중분류,장소소분류
2022-08-25 06:29,세종특별자치시,세종,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,1162,산업시설,동식물시설,우사
2022-08-25 06:31,강원특별자치도,횡성군,"건축,구조물",작동기기,전기적 아크(단락),기계적 요인,"과열, 과부하",합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,11641,"판매,업무시설",공공기관,국가 및 지방자치단체 청사
2022-08-25 06:43,전북특별자치도,완주군,기타(쓰레기 화재등),작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자","전기, 전자기기 케이스",0,0,0,72,기타,야외,기타야외
2022-08-25 06:45,서울특별시,구로구,"자동차,철도차량",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하","자동차,철도차량,선박,항공기",타이어,0,0,0,495,"자동차,철도차량",자동차,화물자동차
2022-08-25 06:59,울산광역시,남구,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,불장난,"종이,목재,건초등",종이,0,0,0,161,"판매,업무시설",숙박시설,모텔
2022-08-25 08:09,서울특별시,성북구,기타(쓰레기 화재등),"마찰, 전도, 복사","마찰열,마찰 스파크",부주의,기타(부주의),위험물등,도료류,0,0,0,420,기타,야외,기타야외
2022-08-25 08:30,전라남도,곡성군,기타(쓰레기 화재등),작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자","콘센트, 스위치류",0,0,0,157,기타,야외,공터
2022-08-25 09:09,서울특별시,강북구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",미상,미상,합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,2241,주거,공동주택,기타 공동주택
2022-08-25 09:18,충청남도,홍성군,기타(쓰레기 화재등),기타,기타,전기적 요인,기타(전기적요인),"종이,목재,건초등","기타(종이,목재,건초등)",0,0,0,16016,기타,야외,기타야외
2022-08-25 09:38,전북특별자치도,장수군,기타(쓰레기 화재등),작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,58,기타,야외,기타야외
2022-08-25 09:56,전라남도,보성군,기타(쓰레기 화재등),작동기기,전기적 아크(단락),기계적 요인,노후,"전기,전자","전기, 전자기기 내부배선",0,0,0,26,기타,야외,기타야외
2022-08-25 10:16,서울특별시,용산구,기타(쓰레기 화재등),"마찰, 전도, 복사","화염 전도,복사열",부주의,"용접, 절단, 연마",합성수지,우레탄,0,0,0,11,기타,야외,기타야외
2022-08-25 10:24,경상북도,김천시,"건축,구조물",미상,미상,미상,미상,기타,기타,0,0,0,2067,주거,단독주택,단독주택
2022-08-25 10:40,광주광역시,광산구,"건축,구조물","담뱃불, 라이터불",촛불,부주의,"불씨,불꽃,화원방치","종이,목재,건초등","기타(종이,목재,건초등)",0,0,0,3317,주거,단독주택,단독주택
2022-08-25 10:46,제주특별자치도,제주시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자","기타(전기,전자)",0,0,0,1617,"판매,업무시설",일반업무,기타 일반업무시설
2022-08-25 10:48,서울특별시,송파구,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,"불씨,불꽃,화원방치",쓰레기류,쓰레기,0,0,0,348,"의료,복지시설",의료시설,한의원
2022-08-25 10:54,경기도,고양시일산동구,"자동차,철도차량",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하",합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,11000,"자동차,철도차량",자동차,소형 승합차
2022-08-25 11:04,경기도,안산시단원구,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",부주의,"기기(전기, 기계 등) 사용.설치부주의",합성수지,기타(합성수지),0,0,0,27901,산업시설,공장시설,금속기계 및 기구공업
2022-08-25 11:27,강원특별자치도,영월군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,"압착,손상에 의한 단락","전기,전자",전선피복,0,0,0,46851,주거,단독주택,단독주택
2022-08-25 11:43,충청남도,아산시,"자동차,철도차량",작동기기,"불꽃, 스파크, 정전기",전기적 요인,과부하/과전류,"전기,전자",전선피복,0,0,0,5940,"자동차,철도차량",자동차,승용자동차
2022-08-25 11:58,경기도,광주시,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","기타(종이,목재,건초등)",0,0,0,512,주거,단독주택,단독주택
2022-08-25 12:15,충청남도,예산군,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",기타,기타,"전기,전자",전자기기 부속품,0,0,0,210,기타서비스,기타건축물,기타 건축물
2022-08-25 12:25,서울특별시,양천구,"건축,구조물",기타,기타,부주의,가연물 근접방치,"종이,목재,건초등",종이,0,0,0,24,주거,공동주택,다세대주택
2022-08-25 12:33,전북특별자치도,군산시,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,2721,기타서비스,기타건축물,기타 건축물
2022-08-25 12:35,전라남도,함평군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,미상,미상,0,0,0,7316,산업시설,동식물시설,우사
2022-08-25 12:53,서울특별시,마포구,"건축,구조물","불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마",기타,기타,0,0,0,85,주거,공동주택,아파트
2022-08-25 13:20,충청북도,보은군,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,음식물,0,0,0,156,주거,공동주택,다세대주택
2022-08-25 13:57,인천광역시,남동구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,"누전,지락","간판,차양막등",광고판,0,0,0,48,기타서비스,기타건축물,기타 건축물
2022-08-25 14:00,전라남도,완도군,기타(쓰레기 화재등),"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,135,기타,야외,쓰레기
2022-08-25 14:10,경기도,양평군,"자동차,철도차량",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"오일,연료누설","자동차,철도차량,선박,항공기",오일류,0,0,0,158,"자동차,철도차량",자동차,화물자동차
2022-08-25 14:15,경기도,포천시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"전기,전자","전기, 전자기기 기판",0,0,0,5679,산업시설,공장시설,방직공업
2022-08-25 14:54,서울특별시,강남구,"자동차,철도차량",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하","자동차,철도차량,선박,항공기",부품,0,0,0,3198,"자동차,철도차량",자동차,승용자동차
2022-08-25 15:21,부산광역시,중구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하",기타,기타,0,0,0,581,생활서비스,음식점,한식
2022-08-25 15:44,경상남도,밀양시,"건축,구조물","불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마",기타,기타,0,0,0,28757,"판매,업무시설",공공기관,국가 및 지방자치단체 청사
