연번,사망,부상,인명피해(명)소계,재산피해소계,화재발생년월일,시도,시군구,읍면동,화재유형,발화열원,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,장소대분류,장소중분류,장소소분류
1038,0,0,0,110,2015-01-08 19:47,부산광역시,해운대구,반송동,"자동차,철도차량",작동기기,"기기 전도,복사열",기계적 요인,자동제어 실패,"자동차,철도차량,선박,항공기",부품,"자동차,철도차량",자동차,승용자동차
1039,0,0,0,9912,2015-01-08 19:52,전라북도,익산시,용안면,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,합성수지,스티로폼,주거,단독주택,단독주택
1040,0,0,0,207,2015-01-08 20:07,경상남도,김해시,진영읍,기타(쓰레기 화재등),"불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등",종이,기타,야외,야적장
1041,0,0,0,0,2015-01-08 20:16,전라북도,정읍시,상동,"건축,구조물",기타(발화원인),기타,부주의,음식물 조리중,기타,기타,주거,공동주택,아파트
1042,0,0,0,3338,2015-01-08 20:23,경기도,성남시수정구,수진동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,가구,기타(가구),주거,공동주택,주상복합아파트
1043,0,0,0,3465,2015-01-08 20:38,경상북도,구미시,사곡동,"건축,구조물","마찰, 전도, 복사","마찰열,마찰 스파크",기계적 요인,"과열, 과부하",합성수지,합성고무(타이어),운수자동차시설,자동차시설,"자동차검사장, 매매장, 부속상, 정비공장"
1044,0,0,0,1390,2015-01-08 21:48,경기도,양평군,용문면,"건축,구조물",작동기기,기타(작동기기),기계적 요인,기타(기계적요인),합성수지,스티로폼,"판매,업무시설",숙박시설,모텔
1045,0,0,0,54201,2015-01-08 22:03,충청남도,부여군,외산면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"전기,전자","전기, 전자기기 케이스",산업시설,동식물시설,계사
1046,0,0,0,0,2015-01-08 22:20,제주특별자치도,서귀포시,서호동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",건초,기타,야외,기타야외
1047,0,0,0,16401,2015-01-08 22:23,충청남도,아산시,배방읍,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,주거,단독주택,단독주택
1048,0,0,0,40,2015-01-08 22:27,서울특별시,강서구,방화동,"건축,구조물","마찰, 전도, 복사","기타(마찰,전도,복사)",부주의,음식물 조리중,식품,음식물,주거,공동주택,아파트
1049,0,0,0,16,2015-01-08 22:30,서울특별시,동작구,신대방동,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,튀김유,주거,공동주택,다세대주택
1050,0,0,0,1471,2015-01-08 23:00,경기도,김포시,하성면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"전기,전자","전기, 전자기기 케이스",기타서비스,기타건축물,기타 건축물
1051,0,0,0,27798,2015-01-08 23:08,경기도,남양주시,와부읍,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,"압착,손상에 의한 단락","전기,전자",전선피복,주거,단독주택,단독주택
1052,0,0,0,48,2015-01-08 23:25,대구광역시,달서구,송현동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"간판,차양막등",네온사인,생활서비스,오락시설,노래연습장
1053,0,0,0,50,2015-01-08 23:40,서울특별시,영등포구,영등포동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,기타,야외,쓰레기
1054,0,0,0,220,2015-01-09 00:15,세종특별자치시,세종,연서면,"자동차,철도차량",작동기기,기타(작동기기),기계적 요인,"오일,연료누설","자동차,철도차량,선박,항공기",오일류,"자동차,철도차량",자동차,버스
1055,0,0,0,2441,2015-01-09 00:36,서울특별시,노원구,상계동,"건축,구조물",미상(발화원인),미상,방화의심,방화의심,"종이,목재,건초등",종이,주거,단독주택,단독주택
1056,0,0,0,11716,2015-01-09 00:58,경상북도,칠곡군,왜관읍,"건축,구조물",작동기기,기타(작동기기),기계적 요인,"과열, 과부하",합성수지,"플라스틱, PVC, 비닐, 장판",산업시설,공장시설,그 밖의 공업
1057,0,0,0,3739,2015-01-09 01:11,전라남도,여수시,율촌면,"건축,구조물",미상(발화원인),미상,방화의심,방화의심,미상,미상,기타서비스,기타건축물,기타 건축물
1058,0,0,0,33197,2015-01-09 01:54,경기도,고양시일산동구,풍동,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,운수자동차시설,자동차시설,"세차장, 폐차장"
1059,0,0,0,1375,2015-01-09 02:00,서울특별시,성북구,장위동,"자동차,철도차량","담뱃불, 라이터불","라이터불, 성냥불",방화의심,방화의심,미상,미상,"자동차,철도차량",자동차,화물자동차
1060,0,0,0,23,2015-01-09 02:02,충청남도,아산시,음봉면,"건축,구조물",작동기기,"기기 전도,복사열",기계적 요인,"과열, 과부하","종이,목재,건초등",종이,주거,단독주택,단독주택
1061,0,0,0,9615,2015-01-09 02:12,부산광역시,영도구,봉래동2가,"건축,구조물",미상(발화원인),미상,미상,미상,"전기,전자",전선피복,산업시설,공장시설,그 밖의 공업
1062,0,0,0,1089,2015-01-09 02:24,경기도,화성시,우정읍,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,산업시설,공장시설,"전기, 전자공업"
1063,0,0,0,2533,2015-01-09 02:40,경기도,광주시,초월읍,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,산업시설,동식물시설,농예용 온실
1064,0,0,0,21778,2015-01-09 02:51,경상북도,봉화군,봉화읍,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,산업시설,창고시설,기타 창고
1065,0,0,0,48,2015-01-09 03:09,서울특별시,강북구,번동,"건축,구조물",기타(발화원인),기타,부주의,음식물 조리중,식품,음식물,주거,단독주택,다가구주택
1066,0,0,0,23318,2015-01-09 03:14,경상남도,김해시,부원동,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,"판매,업무시설",일반업무,기타 일반업무시설
1067,0,0,0,1650,2015-01-09 04:00,광주광역시,서구,쌍촌동,"자동차,철도차량",작동기기,"기기 전도,복사열",기계적 요인,"과열, 과부하","자동차,철도차량,선박,항공기",범퍼,"자동차,철도차량",자동차,승용자동차
1068,0,0,0,937,2015-01-09 04:42,전라북도,익산시,황등면,"건축,구조물",작동기기,전기적 아크(단락),기타,기타,"종이,목재,건초등",건초,산업시설,창고시설,기타 창고
1069,0,0,0,390534,2015-01-09 05:14,경기도,김포시,월곶면,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,교육시설,"연구,학원",연구소
1070,0,0,0,25060,2015-01-09 05:55,경기도,포천시,영중면,"건축,구조물","불꽃, 불티",비화,기계적 요인,기타(기계적요인),"종이,목재,건초등",톱밥,산업시설,공장시설,제재 및 목공업
1071,0,0,0,10714,2015-01-09 06:23,충청남도,부여군,은산면,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,주거,단독주택,단독주택
1072,0,0,0,1980,2015-01-09 06:37,경상남도,창원시 의창구,팔용동,"자동차,철도차량",기타(발화원인),기타,교통사고,교통사고,"자동차,철도차량,선박,항공기","기타(자동차,철도차량,선박,항공기)","자동차,철도차량",자동차,승용자동차
1073,0,0,0,311,2015-01-09 06:39,경기도,성남시분당구,서현동,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","목재, 합판",집합시설,종교시설,교회
1074,0,0,0,48,2015-01-09 06:48,대전광역시,동구,홍도동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,"전기,전자",전선피복,생활서비스,일상서비스,일반상점
1075,0,0,0,660,2015-01-09 07:28,경기도,안양시만안구,안양동,"자동차,철도차량",작동기기,"기기 전도,복사열",기계적 요인,"과열, 과부하","전기,전자",전선피복,"자동차,철도차량",자동차,승용자동차
1076,0,0,0,105,2015-01-09 07:34,서울특별시,서초구,반포동,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,"판매,업무시설",일반업무,금융기관(농협 등)
1077,0,0,0,33,2015-01-09 07:42,대구광역시,남구,대명동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전자기기 부속품,주거,단독주택,다가구주택
1078,0,0,0,2144,2015-01-09 07:50,전라북도,정읍시,부전동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"종이,목재,건초등","목재, 합판",생활서비스,일상서비스,기타 일상서비스
1079,0,0,0,4611,2015-01-09 08:04,부산광역시,사하구,신평동,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,산업시설,창고시설,"창고, 물품저장소"
1080,0,0,0,0,2015-01-09 08:25,대구광역시,달서구,도원동,기타(쓰레기 화재등),"마찰, 전도, 복사","화염 전도,복사열",부주의,기타(부주의),합성수지,"플라스틱, PVC, 비닐, 장판",기타,야외,기타야외
1081,0,0,0,270,2015-01-09 08:28,부산광역시,금정구,부곡동,"건축,구조물","불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치",미상,미상,생활서비스,음식점,한식
1082,0,0,0,0,2015-01-09 09:08,광주광역시,광산구,쌍암동,"건축,구조물","불꽃, 불티","쓰레기, 논밭두렁",부주의,"불씨,불꽃,화원방치",쓰레기류,쓰레기,주거,공동주택,아파트
1083,0,0,0,0,2015-01-09 09:23,대구광역시,북구,산격동,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",부주의,음식물 조리중,식품,기타(식품),주거,공동주택,아파트
1084,0,0,0,2958,2015-01-09 09:24,인천광역시,남동구,고잔동,"건축,구조물",작동기기,"기기 전도,복사열",기계적 요인,"과열, 과부하","전기,전자",전선피복,산업시설,공장시설,그 밖의 공업
1085,0,0,0,0,2015-01-09 09:26,부산광역시,연제구,연산동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,음식물 조리중,식품,음식물,주거,단독주택,단독주택
1086,0,0,0,49,2015-01-09 09:29,강원도,삼척시,가곡면,기타(쓰레기 화재등),"불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치",기타,기타,기타,야외,기타야외
1087,0,0,0,0,2015-01-09 09:33,부산광역시,해운대구,송정동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",건초,기타,야외,기타야외
1088,0,0,0,212,2015-01-09 09:35,인천광역시,부평구,갈산동,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",부주의,음식물 조리중,"침구,직물류","행주, 기름걸레",주거,공동주택,아파트
1089,0,0,0,157,2015-01-09 09:44,경기도,군포시,당동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,합성수지,"플라스틱, PVC, 비닐, 장판",주거,공동주택,아파트
1090,0,0,0,704,2015-01-09 09:57,충청북도,음성군,대소면,"자동차,철도차량",작동기기,"불꽃, 스파크, 정전기",기계적 요인,"과열, 과부하","자동차,철도차량,선박,항공기",오일류,"자동차,철도차량",자동차,승용자동차
1091,0,0,0,685,2015-01-09 10:12,부산광역시,수영구,수영동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,"전기,전자",전선피복,생활서비스,음식점,횟집
1092,0,0,0,941,2015-01-09 10:16,경기도,광주시,초월읍,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,쓰레기 소각,"종이,목재,건초등",종이,기타서비스,기타건축물,기타 건축물
1093,0,0,0,242,2015-01-09 10:22,서울특별시,관악구,봉천동,"자동차,철도차량",작동기기,"불꽃, 스파크, 정전기",기계적 요인,기타(기계적요인),위험물등,경유,"자동차,철도차량",자동차,화물자동차
1094,0,0,0,4714,2015-01-09 10:23,경기도,포천시,가산면,"건축,구조물","마찰, 전도, 복사","마찰열,마찰 스파크",기계적 요인,기타(기계적요인),"종이,목재,건초등","기타(종이,목재,건초등)",기타서비스,기타건축물,기타 건축물
1095,0,0,0,961,2015-01-09 10:43,경상남도,함안군,칠원면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자","콘센트, 스위치류",생활서비스,음식점,한식
1096,0,0,0,2019,2015-01-09 10:44,서울특별시,양천구,신월동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,주거,단독주택,단독주택
1097,0,0,0,51,2015-01-09 11:04,서울특별시,광진구,화양동,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,음식물,주거,단독주택,단독주택
1098,0,0,0,121,2015-01-09 11:23,경상남도,함양군,서상면,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,"불씨,불꽃,화원방치",합성수지,스티로폼,주거,단독주택,단독주택
1099,0,0,0,45,2015-01-09 11:27,경상북도,포항시남구,장기면,기타(쓰레기 화재등),"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등","목재, 합판",기타,야외,기타야외
1100,0,0,0,1303,2015-01-09 11:33,서울특별시,중구,신당동,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,주거,공동주택,아파트
1101,0,0,0,1080,2015-01-09 11:38,경기도,양주시,은현면,"건축,구조물",작동기기,기타(작동기기),기계적 요인,기타(기계적요인),기타,기타,"판매,업무시설",판매시설,기타 판매시설
1102,0,0,0,0,2015-01-09 11:53,경상북도,안동시,임하면,기타(쓰레기 화재등),"불꽃, 불티",굴뚝(연통) 아궁이,부주의,기타(부주의),"종이,목재,건초등","기타(종이,목재,건초등)",기타,야외,기타야외
1103,0,0,0,6969,2015-01-09 12:03,경상북도,영천시,화산면,"자동차,철도차량",작동기기,"기기 전도,복사열",기계적 요인,"오일,연료누설","자동차,철도차량,선박,항공기",오일류,"자동차,철도차량",자동차,화물자동차
1104,0,0,0,0,2015-01-09 12:04,경기도,하남시,감일동,기타(쓰레기 화재등),미상(발화원인),미상,부주의,쓰레기 소각,쓰레기류,쓰레기,기타,야외,공터
1105,0,0,0,165,2015-01-09 12:04,광주광역시,광산구,명화동,임야,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",임야,들불,목초지
1106,0,0,0,924,2015-01-09 12:22,경상남도,김해시,신문동,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,합성수지,스티로폼,기타서비스,기타건축물,기타 건축물
1107,0,0,0,523,2015-01-09 12:23,대구광역시,달서구,월암동,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",기계적 요인,"과열, 과부하","침구,직물류","기타(침구,직물류)",산업시설,공장시설,그 밖의 공업
1108,0,0,0,27599,2015-01-09 12:37,강원도,강릉시,구정면,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",부주의,가연물 근접방치,"종이,목재,건초등","기타(종이,목재,건초등)",주거,단독주택,단독주택
1109,0,0,0,940,2015-01-09 12:43,충청남도,공주시,계룡면,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,"불씨,불꽃,화원방치","종이,목재,건초등",나무,주거,단독주택,단독주택
1110,0,0,0,0,2015-01-09 12:58,전라남도,순천시,승주읍,"자동차,철도차량",기타(발화원인),기타,기계적 요인,"오일,연료누설",위험물등,기계유,"자동차,철도차량",자동차,화물자동차
1111,0,0,0,880,2015-01-09 13:09,경상남도,양산시,평산동,"건축,구조물",작동기기,"기기 전도,복사열",기계적 요인,"과열, 과부하",합성수지,스티로폼,"판매,업무시설",일반업무,기타 일반업무시설
1112,0,0,0,1138,2015-01-09 13:20,경기도,화성시,안녕동,"건축,구조물","불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등",종이,산업시설,공장시설,그 밖의 공업
1113,0,0,0,64,2015-01-09 13:28,부산광역시,북구,덕천동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,기타(부주의),"전기,전자",전선피복,생활서비스,음식점,"치킨,족발"
1114,0,0,0,396,2015-01-09 13:39,경기도,고양시일산동구,식사동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자","전기, 전자기기 케이스",산업시설,공장시설,금속기계 및 기구공업
1115,0,3,3,4832,2015-01-09 13:49,경상북도,영천시,임고면,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",가스누출(폭발),가스누출(폭발),가연성가스,프로판가스,주거,단독주택,단독주택
1116,0,0,0,309,2015-01-09 13:56,경기도,동두천시,생연동,"건축,구조물","불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마",합성수지,기타(합성수지),기타서비스,기타건축물,기타 건축물
1117,0,0,0,77,2015-01-09 14:02,경기도,안양시동안구,관양동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,주거,단독주택,다가구주택
1118,0,0,0,9,2015-01-09 14:08,경기도,안산시단원구,대부북동,임야,"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,쓰레기류,쓰레기,임야,들불,들판
1119,0,0,0,0,2015-01-09 14:16,대구광역시,달성군,다사읍,기타(쓰레기 화재등),"담뱃불, 라이터불","라이터불, 성냥불",부주의,불장난,합성수지,"플라스틱, PVC, 비닐, 장판",기타,야외,기타야외
1120,0,0,0,8415,2015-01-09 14:21,광주광역시,서구,금호동,"자동차,철도차량",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,"자동차,철도차량",건설기계,굴삭기
1121,0,0,0,19611,2015-01-09 14:23,경기도,화성시,남양읍,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",가스누출(폭발),가스누출(폭발),가연성가스,부탄가스,산업시설,공장시설,그 밖의 공업
1122,0,1,1,14818,2015-01-09 14:30,울산광역시,울주군,삼동면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"침구,직물류",의류,주거,단독주택,단독주택
1123,0,0,0,7500,2015-01-09 14:33,경상북도,포항시남구,효자동,"선박,항공기","담뱃불, 라이터불","라이터불, 성냥불",방화의심,방화의심,"종이,목재,건초등",종이,"선박,항공기",선박,수상레저기구(보트등)
1124,0,0,0,3882,2015-01-09 14:39,제주특별자치도,서귀포시,색달동,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"침구,직물류","이불(베개,시트)",주거,단독주택,단독주택
1125,0,0,0,221,2015-01-09 14:54,부산광역시,중구,남포동5가,"건축,구조물",작동기기,"기기 전도,복사열",부주의,음식물 조리중,기타,기타,생활서비스,음식점,횟집
1126,0,0,0,11,2015-01-09 14:55,울산광역시,동구,전하동,기타(쓰레기 화재등),작동기기,"불꽃, 스파크, 정전기",부주의,음식물 조리중,식품,음식물,기타,야외,기타야외
1127,0,0,0,0,2015-01-09 14:56,서울특별시,종로구,동숭동,"건축,구조물","불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마",쓰레기류,쓰레기,집합시설,공연장,연극장
1128,0,0,0,605,2015-01-09 15:08,경상남도,합천군,삼가면,기타(쓰레기 화재등),작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"전기,전자","전기, 전자기기 기판",기타,야외,기타야외
1129,0,0,0,2385,2015-01-09 15:18,인천광역시,부평구,부개동,"건축,구조물",작동기기,전기적 아크(단락),기계적 요인,"과열, 과부하","전기,전자",전선피복,주거,단독주택,다가구주택
1130,0,0,0,0,2015-01-09 15:18,광주광역시,광산구,월곡동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,음식물 조리중,식품,음식물,주거,단독주택,다가구주택
1131,0,0,0,23609,2015-01-09 15:23,경기도,고양시덕양구,용두동,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,산업시설,창고시설,"창고, 물품저장소"
1132,0,0,0,3307,2015-01-09 15:54,서울특별시,강서구,마곡동,"자동차,철도차량",작동기기,"불꽃, 스파크, 정전기",전기적 요인,기타(전기적요인),가연성가스,프로판가스,"자동차,철도차량",자동차,소형 승합차
1133,0,0,0,111,2015-01-09 15:57,강원도,동해시,발한동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,기타,야외,기타야외
1134,0,0,0,399,2015-01-09 16:01,전라북도,정읍시,영원면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,기타,기타,주거,단독주택,단독주택
1135,0,0,0,50,2015-01-09 16:01,서울특별시,관악구,봉천동,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,음식물,주거,공동주택,아파트
1136,0,0,0,23,2015-01-09 16:02,경상북도,포항시남구,오천읍,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",기타,야외,쓰레기
1137,0,0,0,1182,2015-01-09 16:03,경기도,용인시처인구,남사면,"건축,구조물","불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마",합성수지,스티로폼,산업시설,공장시설,그 밖의 공업
1138,0,0,0,0,2015-01-09 16:12,경상북도,경주시,강동면,기타(쓰레기 화재등),"담뱃불, 라이터불","기타(담뱃불,라이터불)",부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",기타,야외,기타야외
1139,0,0,0,268,2015-01-09 16:13,전라남도,목포시,옥암동,"건축,구조물","담뱃불, 라이터불","라이터불, 성냥불",부주의,불장난,"종이,목재,건초등",종이,기타서비스,기타건축물,기타 건축물
1140,0,0,0,1897,2015-01-09 16:37,광주광역시,서구,농성동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","목재, 합판",생활서비스,음식점,한식
1141,0,0,0,1590,2015-01-09 16:46,전라북도,군산시,성산면,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,가연물 근접방치,"종이,목재,건초등",나무,집합시설,종교시설,교회
1142,0,0,0,761,2015-01-09 17:00,전라남도,목포시,용당동,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,생활서비스,일상서비스,기타 일상서비스
1143,0,0,0,385,2015-01-09 17:38,전라남도,영광군,홍농읍,기타(쓰레기 화재등),"불꽃, 불티",굴뚝(연통) 아궁이,기계적 요인,정비불량,합성수지,"플라스틱, PVC, 비닐, 장판",기타,야외,야적장
1144,0,0,0,708,2015-01-09 18:01,경상남도,창원시 의창구,서상동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,생활서비스,일상서비스,기타 일상서비스
1145,0,1,1,1027,2015-01-09 18:05,경상북도,구미시,원평동,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,합성수지,"플라스틱, PVC, 비닐, 장판",주거,단독주택,단독주택
1146,0,0,0,9376,2015-01-09 18:08,서울특별시,성동구,성수동2가,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,생활서비스,일상서비스,기타 일상서비스
1147,0,0,0,50,2015-01-09 18:12,서울특별시,구로구,구로동,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,생활서비스,음식점,패스트푸드
1148,0,0,0,101,2015-01-09 18:34,강원도,태백시,황지동,기타(쓰레기 화재등),작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자","전기, 전자기기 케이스",기타,도로,가로등
1149,0,0,0,0,2015-01-09 18:48,대전광역시,유성구,어은동,기타(쓰레기 화재등),"담뱃불, 라이터불","라이터불, 성냥불",부주의,불장난,"종이,목재,건초등",종이,기타,야외,쓰레기
1150,1,0,1,10319,2015-01-09 19:02,경상북도,경주시,건천읍,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,생활서비스,음식점,"커피숍,다방,카페(휴게)"
1151,0,1,1,1112,2015-01-09 19:02,서울특별시,구로구,구로동,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,주거,공동주택,아파트
1152,0,0,0,5095,2015-01-09 19:08,인천광역시,남구,주안동,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,기타(부주의),미상,미상,산업시설,창고시설,"창고, 물품저장소"
1153,0,0,0,660,2015-01-09 19:16,전라북도,남원시,광치동,"자동차,철도차량","마찰, 전도, 복사","화염 전도,복사열",기계적 요인,"과열, 과부하",미상,미상,"자동차,철도차량",자동차,승용자동차
1154,0,0,0,790,2015-01-09 19:21,경기도,포천시,신북면,"건축,구조물","담뱃불, 라이터불",촛불,부주의,기타(부주의),기타,기타,주거,단독주택,단독주택
1155,0,0,0,310,2015-01-09 19:34,경기도,부천시원미구,중동,"건축,구조물","담뱃불, 라이터불","라이터불, 성냥불",방화,방화,"종이,목재,건초등",종이,집합시설,종교시설,교회
1156,0,0,0,2,2015-01-09 19:43,서울특별시,서초구,반포동,"건축,구조물","불꽃, 불티","모닥불, 연탄, 숯",부주의,가연물 근접방치,"종이,목재,건초등",종이,주거,단독주택,다가구주택
1157,0,0,0,1875,2015-01-09 20:06,경상북도,김천시,대항면,"건축,구조물",작동기기,"기기 전도,복사열",부주의,가연물 근접방치,"종이,목재,건초등","목재, 합판",산업시설,동식물시설,기타 동식물시설
1158,0,0,0,72,2015-01-09 20:12,경기도,수원시영통구,영통동,기타(쓰레기 화재등),작동기기,전기적 아크(단락),전기적 요인,기타(전기적요인),"간판,차양막등",광고판,기타,야외,기타야외
1159,0,1,1,2744,2015-01-09 20:17,경기도,안양시만안구,석수동,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,기타(부주의),"침구,직물류","이불(베개,시트)",주거,공동주택,아파트
1160,0,0,0,912,2015-01-09 20:18,경상북도,경주시,강동면,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",부주의,"불씨,불꽃,화원방치","전기,전자","기타(전기,전자)",산업시설,동식물시설,농예용 온실
1161,0,0,0,493,2015-01-09 20:25,경기도,연천군,백학면,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,기계적 요인,"과열, 과부하",기타,기타,산업시설,공장시설,화학공업
1162,0,0,0,40,2015-01-09 20:26,전라북도,진안군,마령면,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,가연물 근접방치,합성수지,"플라스틱, PVC, 비닐, 장판",주거,단독주택,단독주택
1163,0,0,0,85,2015-01-09 20:29,인천광역시,계양구,효성동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,"전기,전자",전선피복,주거,공동주택,아파트
1164,0,0,0,44,2015-01-09 20:34,서울특별시,동작구,노량진동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,"판매,업무시설",판매시설,기타 판매시설
1165,0,0,0,104,2015-01-09 20:47,제주특별자치도,제주시,삼도일동,"건축,구조물","담뱃불, 라이터불","라이터불, 성냥불",부주의,불장난,쓰레기류,쓰레기,기타서비스,기타건축물,기타 건축물
1166,0,0,0,6096,2015-01-09 20:55,대전광역시,동구,천동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,기타(부주의),"종이,목재,건초등","기타(종이,목재,건초등)",생활서비스,일상서비스,일반상점
1167,0,0,0,22,2015-01-09 21:01,경기도,군포시,금정동,"건축,구조물",작동기기,기타(작동기기),부주의,음식물 조리중,식품,음식물,주거,공동주택,다세대주택
1168,0,0,0,2580,2015-01-09 21:02,경상남도,밀양시,삼랑진읍,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,음식물 조리중,"침구,직물류",부직포,기타서비스,기타건축물,기타 건축물
