일시,시도,시_군_구,화재유형,발화열원대분류,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,인명피해(명)소계,사망,부상,재산피해소계,장소대분류,장소중분류,장소소분류
2023-03-15 11:28,전북특별자치도,임실군,"건축,구조물","불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마","종이,목재,건초등","풀, 나뭇잎",0,0,0,7637,주거,단독주택,다가구주택
2023-03-15 11:31,전라남도,장흥군,임야,"담뱃불, 라이터불","라이터불, 성냥불",부주의,"논,임야태우기","종이,목재,건초등","풀, 나뭇잎",0,0,0,1540,임야,들불,숲
2023-03-15 11:32,전북특별자치도,고창군,기타(쓰레기 화재등),"불꽃, 불티","쓰레기, 논밭두렁",부주의,"불씨,불꽃,화원방치","종이,목재,건초등",건초,0,0,0,55,기타,야외,쓰레기
2023-03-15 11:43,전라남도,신안군,"자동차,철도차량",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"자동차,철도차량,선박,항공기",전기배선,0,0,0,4147,"자동차,철도차량",자동차,화물자동차
2023-03-15 11:50,경기도,파주시,"건축,구조물",미상,미상,미상,미상,합성수지,기타(합성수지),0,0,0,25950,"판매,업무시설",판매시설,상가빌딩
2023-03-15 12:00,전북특별자치도,부안군,"건축,구조물","불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등","기타(종이,목재,건초등)",0,0,0,882,기타서비스,기타건축물,기타 건축물
2023-03-15 12:02,경상북도,김천시,"건축,구조물","불꽃, 불티",비화,부주의,쓰레기 소각,미상,미상,0,0,0,672402,산업시설,창고시설,"창고, 물품저장소"
2023-03-15 12:03,경상북도,경주시,기타(쓰레기 화재등),"불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마","종이,목재,건초등","목재, 합판",0,0,0,0,기타,야외,기타야외
2023-03-15 12:11,전북특별자치도,완주군,"건축,구조물",작동기기,전기적 아크(단락),부주의,"기기(전기, 기계 등) 사용.설치부주의","전기,전자","전기, 전자기기 내부배선",0,0,0,178,기타서비스,기타건축물,기타 건축물
2023-03-15 12:19,울산광역시,남구,"자동차,철도차량","마찰, 전도, 복사","마찰열,마찰 스파크",교통사고,교통사고,기타,기타,1,0,1,4647,"자동차,철도차량",자동차,승용자동차
2023-03-15 12:23,경상남도,거창군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,"압착,손상에 의한 단락","전기,전자",전선피복,1,0,1,2250402,산업시설,공장시설,식료품공업
2023-03-15 12:28,서울특별시,구로구,"건축,구조물","불꽃, 불티","용접, 절단, 연마",부주의,"기기(전기, 기계 등) 사용.설치부주의",합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,148,"판매,업무시설",일반업무,오피스텔
2023-03-15 12:36,충청북도,진천군,"자동차,철도차량",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,3300,"자동차,철도차량",농업기계,트랙터
2023-03-15 12:46,경상남도,함안군,기타(쓰레기 화재등),작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,1857,기타,야외,기타야외
2023-03-15 12:52,서울특별시,종로구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,0,0,0,0,기타,야외,쓰레기
2023-03-15 12:53,서울특별시,영등포구,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",전기적 요인,미확인단락,"전기,전자","전기, 전자기기 케이스",0,0,0,21548,주거,공동주택,아파트
2023-03-15 12:57,전라남도,무안군,"자동차,철도차량",작동기기,"기기 전도,복사열,기기발열",기계적 요인,정비불량,"자동차,철도차량,선박,항공기",타이어,0,0,0,550,"자동차,철도차량",자동차,화물자동차
2023-03-15 13:07,경상남도,김해시,"자동차,철도차량",미상,미상,미상,미상,미상,미상,0,0,0,33000,"자동차,철도차량",자동차,승용자동차
2023-03-15 13:12,강원특별자치도,춘천시,기타(쓰레기 화재등),"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등",종이,0,0,0,0,기타,야외,쓰레기
2023-03-15 13:25,경상남도,창원시 마산회원구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",건초,0,0,0,1,기타,야외,기타야외
2023-03-15 13:26,경상북도,안동시,"건축,구조물","불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마",기타,기타,0,0,0,922,주거,단독주택,단독주택
2023-03-15 13:28,전북특별자치도,무주군,기타(쓰레기 화재등),"불꽃, 불티","기타(불꽃,불티)",부주의,"불씨,불꽃,화원방치","종이,목재,건초등",종이,0,0,0,61,기타,야외,기타야외
2023-03-15 13:35,경상북도,예천군,"건축,구조물","불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마","종이,목재,건초등",건초,0,0,0,343,기타서비스,기타건축물,기타 건축물
2023-03-15 13:35,서울특별시,강남구,"건축,구조물",작동기기,전기적 아크(단락),미상,미상,"전기,전자",전선피복,0,0,0,128,생활서비스,일상서비스,기타 일상서비스
2023-03-15 13:38,경기도,부천시,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,튀김유,1,0,1,447,생활서비스,음식점,중식
2023-03-15 13:48,인천광역시,남동구,"건축,구조물",미상,미상,미상,미상,미상,미상,1,0,1,6466,주거,단독주택,다가구주택
2023-03-15 13:55,충청남도,공주시,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,14962,주거,단독주택,단독주택
2023-03-15 14:08,충청남도,서산시,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,0,0,0,1017,산업시설,창고시설,"창고, 물품저장소"
2023-03-15 14:14,서울특별시,광진구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,0,0,0,323,기타,야외,쓰레기
2023-03-15 14:17,경상북도,상주시,"건축,구조물",작동기기,전기적 아크(단락),기계적 요인,노후,합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,7913,기타서비스,기타건축물,기타 건축물
2023-03-15 14:29,경상남도,창원시 마산회원구,"건축,구조물",미상,미상,미상,미상,"전기,전자","기타(전기,전자)",0,0,0,217,주거,공동주택,아파트
2023-03-15 14:30,경상남도,김해시,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,가구,기타(가구),0,0,0,2412,기타,야외,공터
2023-03-15 14:36,전라남도,여수시,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,튀김유,0,0,0,968,생활서비스,음식점,"커피숍,다방,카페"
